earth science > human dimensions > natural hazards > tropical cyclones > hurricanes, Count: 1, Level 5

earth science > atmosphere > atmospheric temperature > upper air temperature > dew point temperature, Count: 15, Level 5

earth science > atmosphere > atmospheric winds > upper level winds > wind direction, Count: 29, Level 5

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone radius > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity > relative humidity, Count: 70, Level 6

earth science > atmosphere > atmospheric winds > upper level winds > u/v wind components, Count: 22, Level 5

earth science > atmosphere > atmospheric winds > wind profiles > wind direction profiles, Count: 27, Level 5

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone track > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > maximum wind gust > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > atmospheric temperature > upper air temperature > vertical profiles, Count: 14, Level 5

earth science > atmosphere > weather events > tropical cyclones > peak intensity > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > atmospheric water vapor > water vapor profiles, Count: 18, Level 4

earth science > atmosphere > weather events > tropical cyclones > minimum central pressure > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > landfall intensity > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > atmospheric winds > wind profiles > wind velocity/speed profiles, Count: 27, Level 5

earth science > atmosphere > altitude > geopotential height, Count: 12, Level 4

earth science > atmosphere > atmospheric winds > upper level winds > wind speed, Count: 29, Level 5

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone motion > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

no keywords, Count: 337, Level 1

chemistry, Count: 112, Level 1

meteorology, Count: 184, Level 1

biogeochemical, Count: 78, Level 1

lidar, Count: 91, Level 1

trace gases, Count: 59, Level 1

earth science > biosphere > ecological dynamics > ecosystem functions > food-web dynamics, Count: 6, Level 5

earth science > biological classification > animals/vertebrates > fish, Count: 6, Level 4

earth science > atmosphere > atmospheric pressure > sea level pressure, Count: 35, Level 4

earth science > atmosphere > atmospheric temperature > surface temperature > air temperature, Count: 102, Level 5

earth science > atmosphere > precipitation > precipitation amount, Count: 85, Level 4

earth science > atmosphere > air quality > visibility, Count: 34, Level 4

earth science > atmosphere > atmospheric pressure > surface pressure, Count: 89, Level 4

earth science > atmosphere > atmospheric winds > surface winds > wind speed, Count: 86, Level 5

earth science > atmosphere > atmospheric temperature > surface temperature > dew point temperature, Count: 63, Level 5

earth science > atmosphere > atmospheric winds > surface winds > wind direction, Count: 85, Level 5

earth science > atmosphere > clouds > cloud properties > cloud ceiling, Count: 30, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor profiles > water vapor mixing ratio profiles, Count: 3, Level 5

earth science > atmosphere > atmospheric temperature > upper air temperature > boundary layer temperature, Count: 15, Level 5

earth science > spectral/engineering > microwave > brightness temperature, Count: 2, Level 4

hydrography, Count: 169, Level 1

land based, Count: 163, Level 1

photography, Count: 77, Level 1

aerosols, Count: 14, Level 1

benthos, Count: 117, Level 1

biomass, Count: 79, Level 1

earth science > oceans > sea ice > ice temperature, Count: 3, Level 4

earth science > oceans > ocean temperature > water temperature, Count: 4, Level 4

earth science > atmosphere > atmospheric winds > surface winds > u/v wind components, Count: 9, Level 5

